epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
82,2625.45,1.52235,1.38144,1.63084,0.00574,1.35034,0.47338,0.49405,0.44076,0.27357,0.47533,0.50635,0.4483,0.19621,1.45369,1.2328,1.89567,0.00804,0,0.00133281,0.00133281,0.00133281
83,2656.81,1.47681,1.34269,1.58577,0.00586,1.40643,0.61951,0.53396,0.59494,0.35932,0.61763,0.53285,0.58659,0.29929,1.46195,1.23616,1.74377,0.00821,0,0.00132868,0.00132868,0.00132868
84,2688.23,1.49725,1.38524,1.62124,0.00589,1.4315,0.52748,0.58441,0.53418,0.32176,0.53232,0.59331,0.53503,0.24218,1.462,1.28272,1.86898,0.00816,0,0.00132456,0.00132456,0.00132456
85,2719.49,1.48958,1.32278,1.64369,0.00569,1.39271,0.53171,0.49662,0.49348,0.28692,0.52867,0.49484,0.50544,0.22997,1.40782,1.21255,1.99861,0.0081,0,0.00132043,0.00132043,0.00132043
86,2750.93,1.47275,1.33753,1.57124,0.00569,1.34227,0.53315,0.57873,0.55819,0.32087,0.50527,0.58822,0.55004,0.26689,1.40512,1.22038,1.75611,0.00807,0,0.0013163,0.0013163,0.0013163
87,2782.19,1.50224,1.32831,1.62601,0.00589,1.42631,0.47481,0.59118,0.52109,0.31065,0.47139,0.59474,0.52168,0.24061,1.41711,1.26522,1.93432,0.00764,0,0.00131218,0.00131218,0.00131218
88,2813.54,1.47994,1.35746,1.58671,0.00571,1.35875,0.5418,0.4939,0.50469,0.29906,0.51523,0.46768,0.47763,0.2221,1.46599,1.33228,1.77659,0.00816,0,0.00130805,0.00130805,0.00130805
89,2844.89,1.49255,1.32894,1.60315,0.00585,1.38965,0.66849,0.5479,0.60749,0.35467,0.66288,0.53132,0.59936,0.26171,1.47366,1.25674,1.56219,0.0083,0,0.00130393,0.00130393,0.00130393
90,2876.21,1.48731,1.36037,1.58356,0.00588,1.30489,0.6148,0.59183,0.5951,0.35716,0.6063,0.59924,0.59443,0.27662,1.39309,1.18966,1.57473,0.0079,0,0.0012998,0.0012998,0.0012998
91,2907.65,1.4648,1.31119,1.54854,0.00568,1.34116,0.59208,0.55429,0.55453,0.31955,0.60214,0.55963,0.56422,0.26093,1.41994,1.17095,1.62536,0.00789,0,0.00129568,0.00129568,0.00129568
92,2938.85,1.49951,1.35483,1.57131,0.00588,1.31122,0.49501,0.60981,0.54882,0.32574,0.50845,0.62357,0.57139,0.27537,1.41225,1.22412,1.84983,0.008,0,0.00129155,0.00129155,0.00129155
93,2970.17,1.48575,1.34183,1.6177,0.00592,1.32167,0.46797,0.571,0.48864,0.28822,0.47388,0.57753,0.49703,0.24715,1.38818,1.21099,1.79687,0.00768,0,0.00128742,0.00128742,0.00128742
94,3001.55,1.45237,1.30283,1.58494,0.00548,1.30059,0.60092,0.49557,0.58097,0.33279,0.62806,0.50447,0.59166,0.27924,1.43499,1.2362,1.67781,0.00813,0,0.0012833,0.0012833,0.0012833
95,3032.87,1.48389,1.33084,1.60742,0.00585,1.32843,0.64699,0.52593,0.56889,0.33557,0.65441,0.53305,0.57703,0.26895,1.4073,1.25062,1.75165,0.00802,0,0.00127917,0.00127917,0.00127917
96,3064.31,1.48168,1.39182,1.60697,0.00571,1.29373,0.58129,0.52997,0.56918,0.35019,0.59155,0.52104,0.57642,0.2838,1.40298,1.24199,1.6118,0.00793,0,0.00127505,0.00127505,0.00127505
97,3095.65,1.44659,1.3163,1.58483,0.00563,1.29566,0.60717,0.52676,0.56047,0.32262,0.61373,0.53811,0.56929,0.27067,1.36893,1.21137,1.73902,0.0077,0,0.00127092,0.00127092,0.00127092
98,3126.94,1.49148,1.35523,1.58494,0.00589,1.35489,0.41889,0.59763,0.46607,0.27346,0.43637,0.61882,0.4901,0.23012,1.44186,1.23724,1.76018,0.00787,0,0.00126679,0.00126679,0.00126679
99,3158.26,1.45644,1.31465,1.53433,0.00575,1.33599,0.57843,0.49604,0.54313,0.32997,0.57293,0.4996,0.53736,0.24644,1.43257,1.24382,1.68119,0.00818,0,0.00126267,0.00126267,0.00126267
100,3189.5,1.46664,1.33523,1.59952,0.00562,1.34948,0.57099,0.53634,0.55613,0.31752,0.53645,0.5544,0.54289,0.25805,1.42018,1.20224,1.64382,0.00793,0,0.00125854,0.00125854,0.00125854
101,3220.84,1.45792,1.31869,1.55157,0.0058,1.29097,0.54341,0.53602,0.53998,0.32356,0.54905,0.53068,0.54106,0.26456,1.43702,1.18672,1.66462,0.00787,0,0.00125442,0.00125442,0.00125442
102,3252.23,1.49364,1.35472,1.59527,0.00581,1.2925,0.54008,0.55966,0.59356,0.35653,0.52303,0.60495,0.59415,0.29858,1.43059,1.18139,1.63058,0.00801,0,0.00125029,0.00125029,0.00125029
103,3283.45,1.49434,1.29263,1.54181,0.00569,1.28733,0.65747,0.53707,0.5929,0.386,0.6466,0.53377,0.57615,0.28302,1.33283,1.24026,1.57835,0.00751,0,0.00124617,0.00124617,0.00124617
104,3314.91,1.47491,1.28106,1.54932,0.00562,1.33365,0.62257,0.52284,0.57057,0.34611,0.62889,0.5353,0.57953,0.28621,1.37077,1.17413,1.61196,0.00766,0,0.00124204,0.00124204,0.00124204
